Model Year,Mfr Name,Division,Carline,Engine Displacement,# Cylinders,Transmission,City FE,Highway FE,Combined FE,Air Aspiration Method,Transmission Description,# Gears,Drive Desc,Carline Class Desc,Release Date,City CO2,Highway CO2,Combined CO2
2020,Honda,Acura,NSX,3.5,6,Auto(AM-S9),21,22,21,Turbocharged,Automated Manual- Selectable (e.g. Automated Manual with paddles),9,All Wheel Drive,Two Seaters,2019-10-21,420,406,420
2020,FCA US LLC,ALFA ROMEO,4C,1.8,4,Auto(AM6),24,34,28,Turbocharged,Automated Manual,6,"2-Wheel Drive, Rear",Two Seaters,2019-06-21,365,259,317
2020,Aston Martin,Aston Martin Lagonda Ltd,Vantage Manual,4.0,8,Manual(M7),14,21,17,Turbocharged,Manual,7,"2-Wheel Drive, Rear",Two Seaters,2019-09-26,636,425,541
2020,Aston Martin,Aston Martin Lagonda Ltd,Vantage V8,4.0,8,Auto(S8),18,24,20,Turbocharged,Semi-Automatic,8,"2-Wheel Drive, Rear",Two Seaters,2019-03-25,494,364,435
2020,Volkswagen Group of,Audi,R8,5.2,10,Auto(AM-S7),13,20,16,Naturally Aspirated,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,All Wheel Drive,Two Seaters,2019-07-04,657,432,556
2020,Volkswagen Group of,Audi,R8 Spyder,5.2,10,Auto(AM-S7),13,20,16,Naturally Aspirated,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,All Wheel Drive,Two Seaters,2019-07-04,657,432,556
2020,Volkswagen Group of,Audi,TT Roadster quattro,2.0,4,Auto(AM-S7),23,31,26,Turbocharged,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,All Wheel Drive,Two Seaters,2019-08-30,384,285,340
2020,BMW,BMW,Z4 M40i,3.0,6,Auto(S8),24,31,26,Turbocharged,Semi-Automatic,8,"2-Wheel Drive, Rear",Two Seaters,2019-04-15,371,289,334
2020,BMW,BMW,Z4 sDrive30i,2.0,4,Auto(S8),24,32,27,Turbocharged,Semi-Automatic,8,"2-Wheel Drive, Rear",Two Seaters,2019-07-21,363,278,324
2020,Volkswagen Group of,Bugatti,Chiron,8.0,16,Auto(AM-S7),9,14,11,Turbocharged,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,All Wheel Drive,Two Seaters,2019-10-31,1010,632,840
2020,Volkswagen Group of,Bugatti,Divo,8.0,16,Auto(AM-S7),9,13,10,Turbocharged,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,All Wheel Drive,Two Seaters,2020-05-01,1018,677,864
2020,General Motors,Chevrolet,CORVETTE,6.2,8,Auto(S8),15,27,19,Naturally Aspirated,Semi-Automatic,8,"2-Wheel Drive, Rear",Two Seaters,2020-01-25,581,329,467
2020,Ferrari,"Ferrari North America, Inc.",488 Pista,3.9,8,Auto(AM7),15,20,17,Turbocharged,Automated Manual,7,"2-Wheel Drive, Rear",Two Seaters,2019-08-01,587,448,524
2020,Ferrari,"Ferrari North America, Inc.",488 Pista Spider,3.9,8,Auto(AM7),15,19,17,Turbocharged,Automated Manual,7,"2-Wheel Drive, Rear",Two Seaters,2019-08-01,593,457,531
2020,Ferrari,"Ferrari North America, Inc.",812 Superfast,6.5,12,Auto(AM7),12,16,13,Naturally Aspirated,Automated Manual,7,"2-Wheel Drive, Rear",Two Seaters,2019-08-01,747,557,661
2020,Ferrari,"Ferrari North America, Inc.",F8 Tributo,3.9,8,Auto(AM7),15,19,16,Turbocharged,Automated Manual,7,"2-Wheel Drive, Rear",Two Seaters,2019-08-01,605,462,541
2020,FCA US LLC,FIAT,124 Spider,1.4,4,Auto(A6),25,36,29,Turbocharged,Automatic,6,"2-Wheel Drive, Rear",Two Seaters,2019-07-15,348,245,302
2020,FCA US LLC,FIAT,124 Spider,1.4,4,Manual(M6),26,35,30,Turbocharged,Manual,6,"2-Wheel Drive, Rear",Two Seaters,2019-07-15,337,250,298
2020,Ford Motor Company,Ford,FORD GT,3.5,6,Auto(AM7),12,18,14,Turbocharged,Automated Manual,7,"2-Wheel Drive, Rear",Two Seaters,2019-12-18,752,485,632
2020,Jaguar Land Rover L,Jaguar,F-TYPE AWD Convertible,5.0,8,Auto(S8),16,24,18,Supercharged,Semi-Automatic,8,All Wheel Drive,Two Seaters,2019-03-14,571,369,481
2020,Jaguar Land Rover L,Jaguar,F-TYPE AWD Coupe,5.0,8,Auto(S8),16,24,18,Supercharged,Semi-Automatic,8,All Wheel Drive,Two Seaters,2019-03-14,571,369,481
2020,Jaguar Land Rover L,Jaguar,F-TYPE Convertible,2.0,4,Auto(S8),23,30,26,Turbocharged,Semi-Automatic,8,"2-Wheel Drive, Rear",Two Seaters,2019-02-08,386,296,346
2020,Jaguar Land Rover L,Jaguar,F-TYPE Convertible,3.0,6,Auto(S8),20,28,23,Supercharged,Semi-Automatic,8,"2-Wheel Drive, Rear",Two Seaters,2019-03-08,447,320,390
2020,Jaguar Land Rover L,Jaguar,F-TYPE Coupe,2.0,4,Auto(S8),23,30,26,Turbocharged,Semi-Automatic,8,"2-Wheel Drive, Rear",Two Seaters,2019-02-08,386,296,346
2020,Jaguar Land Rover L,Jaguar,F-TYPE Coupe,3.0,6,Auto(S8),20,28,23,Supercharged,Semi-Automatic,8,"2-Wheel Drive, Rear",Two Seaters,2019-03-08,447,320,390
2020,Jaguar Land Rover L,Jaguar,F-TYPE S AWD Convertible,3.0,6,Auto(S8),18,26,21,Supercharged,Semi-Automatic,8,All Wheel Drive,Two Seaters,2019-03-08,490,347,426
2020,Jaguar Land Rover L,Jaguar,F-TYPE S AWD Coupe,3.0,6,Auto(S8),18,26,21,Supercharged,Semi-Automatic,8,All Wheel Drive,Two Seaters,2019-03-08,490,347,426
