Model Year,Mfr Name,Division,Carline,Engine Displacement,# Cylinders,Transmission,City FE,Highway FE,Combined FE,Air Aspiration Method,Transmission Description,# Gears,Drive Desc,Carline Class Desc,Release Date,City CO2,Highway CO2,Combined CO2
2015,Aston Martin,Aston Martin Lagonda Ltd,V12 Vantage S,6.0,12,Auto,12,18,14,Naturally Aspirated,Automated Manual,7,"2-Wheel Drive, Rear",Two Seaters,2014-01-20,742,488,628
2015,Aston Martin,Aston Martin Lagonda Ltd,V8 Vantage,4.7,8,Auto,14,21,16,Naturally Aspirated,Automated Manual,7,"2-Wheel Drive, Rear",Two Seaters,2014-05-19,655,426,552
2015,Aston Martin,Aston Martin Lagonda Ltd,V8 Vantage,4.7,8,Manual,13,19,15,Naturally Aspirated,Manual,6,"2-Wheel Drive, Rear",Two Seaters,2014-05-19,681,461,582
2015,Aston Martin,Aston Martin Lagonda Ltd,V8 Vantage S,4.7,8,Auto,14,21,16,Naturally Aspirated,Automated Manual,7,"2-Wheel Drive, Rear",Two Seaters,2014-05-19,655,426,552
2015,Aston Martin,Aston Martin Lagonda Ltd,V8 Vantage S,4.7,8,Manual,13,19,15,Naturally Aspirated,Manual,6,"2-Wheel Drive, Rear",Two Seaters,2014-05-19,681,461,582
2015,Aston Martin,Aston Martin Lagonda Ltd,Vantage GT,4.7,8,Auto,14,21,16,Naturally Aspirated,Automated Manual,7,"2-Wheel Drive, Rear",Two Seaters,2014-05-19,655,426,552
2015,Aston Martin,Aston Martin Lagonda Ltd,Vantage GT,4.7,8,Manual,13,19,15,Naturally Aspirated,Manual,6,"2-Wheel Drive, Rear",Two Seaters,2014-05-19,681,461,582
2015,Volkswagen Group of,Audi,R8,4.2,8,Auto,14,23,17,Naturally Aspirated,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,All Wheel Drive,Two Seaters,2014-06-09,656,394,538
2015,Volkswagen Group of,Audi,R8,4.2,8,Manual,11,20,14,Naturally Aspirated,Manual,6,All Wheel Drive,Two Seaters,2014-06-09,772,439,622
2015,Volkswagen Group of,Audi,R8,5.2,10,Auto,13,22,16,Naturally Aspirated,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,All Wheel Drive,Two Seaters,2014-06-09,686,400,557
2015,Volkswagen Group of,Audi,R8,5.2,10,Manual,12,19,14,Naturally Aspirated,Manual,6,All Wheel Drive,Two Seaters,2014-06-09,753,454,618
2015,Volkswagen Group of,Audi,R8 Spyder,4.2,8,Auto,14,23,17,Naturally Aspirated,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,All Wheel Drive,Two Seaters,2014-06-09,656,394,538
2015,Volkswagen Group of,Audi,R8 Spyder,4.2,8,Manual,11,20,14,Naturally Aspirated,Manual,6,All Wheel Drive,Two Seaters,2014-06-09,772,439,622
2015,Volkswagen Group of,Audi,R8 Spyder,5.2,10,Auto,13,22,16,Naturally Aspirated,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,All Wheel Drive,Two Seaters,2014-06-09,686,400,557
2015,Volkswagen Group of,Audi,R8 Spyder,5.2,10,Manual,12,19,14,Naturally Aspirated,Manual,6,All Wheel Drive,Two Seaters,2014-06-09,753,454,618
2015,Volkswagen Group of,Audi,TT Roadster quattro,2.0,4,Auto,22,31,26,Turbocharged,Automated Manual- Selectable (e.g. Automated Manual with paddles),6,All Wheel Drive,Two Seaters,2014-01-15,395,284,345
2015,BMW,BMW,Z4 sDrive28i,2.0,4,Auto,22,33,26,Turbocharged,Semi-Automatic,8,"2-Wheel Drive, Rear",Two Seaters,2014-03-26,403,266,341
2015,BMW,BMW,Z4 sDrive28i,2.0,4,Manual,22,34,26,Turbocharged,Manual,6,"2-Wheel Drive, Rear",Two Seaters,2014-03-26,400,259,337
2015,BMW,BMW,Z4 sDrive35i,3.0,6,Auto,17,24,20,Turbocharged,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,"2-Wheel Drive, Rear",Two Seaters,2014-04-01,518,376,454
2015,BMW,BMW,Z4 sDrive35i,3.0,6,Manual,19,26,21,Turbocharged,Manual,6,"2-Wheel Drive, Rear",Two Seaters,2014-04-01,476,340,415
2015,BMW,BMW,Z4 sDrive35is,3.0,6,Auto,17,24,20,Turbocharged,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,"2-Wheel Drive, Rear",Two Seaters,2014-04-01,518,376,454
2015,Volkswagen Group of,Bugatti,Veyron,8.0,16,Auto,8,15,10,Turbocharged,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,All Wheel Drive,Two Seaters,2014-05-23,1050,599,847
2015,General Motors,Chevrolet,CORVETTE,6.2,8,Manual,17,29,21,Naturally Aspirated,Manual,7,"2-Wheel Drive, Rear",Two Seaters,2014-07-10,517,310,424
2015,Jaguar Land Rover L,Jaguar,F-TYPE R Coupe,5.0,8,Auto,16,23,18,Supercharged,Semi-Automatic,8,"2-Wheel Drive, Rear",Two Seaters,2014-01-30,570,386,487
2015,Jaguar Land Rover L,Jaguar,F-TYPE V8 S Convertible,5.0,8,Auto,16,23,18,Supercharged,Semi-Automatic,8,"2-Wheel Drive, Rear",Two Seaters,2014-01-30,570,386,487
2015,Volkswagen Group of,Lamborghini,Aventador Coupe,6.5,12,Auto,11,18,13,Naturally Aspirated,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,All Wheel Drive,Two Seaters,2014-07-04,836,481,676
2015,Volkswagen Group of,Lamborghini,Aventador Roadster,6.5,12,Auto,10,16,12,Naturally Aspirated,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,All Wheel Drive,Two Seaters,2014-07-04,902,547,742
2015,Volkswagen Group of,Lamborghini,Huracan,5.2,10,Auto,14,20,16,Naturally Aspirated,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,All Wheel Drive,Two Seaters,2014-05-12,629,441,544
2015,Volkswagen Group of,Lamborghini,Veneno Roadster,6.5,12,Auto,11,17,13,Naturally Aspirated,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,All Wheel Drive,Two Seaters,2014-07-04,831,523,692
2015,MAZDA,MAZDA,MX-5,2.0,4,Auto,21,28,23,Naturally Aspirated,Semi-Automatic,6,"2-Wheel Drive, Rear",Two Seaters,2014-04-25,423,316,375
2015,MAZDA,MAZDA,MX-5,2.0,4,Manual,22,28,25,Naturally Aspirated,Manual,5,"2-Wheel Drive, Rear",Two Seaters,2014-04-25,390,315,356
2015,MAZDA,MAZDA,MX-5,2.0,4,Manual,21,28,24,Naturally Aspirated,Manual,6,"2-Wheel Drive, Rear",Two Seaters,2014-04-25,411,314,368
2015,Mercedes-Benz,Mercedes-Benz,SL 400,3.0,8,Auto,20,27,23,Turbocharged,Automatic,7,"2-Wheel Drive, Rear",Two Seaters,2014-07-25,444,327,392
