Model Year,Mfr Name,Division,Carline,Engine Displacement,# Cylinders,Transmission,City FE,Highway FE,Combined FE,Air Aspiration Method,Transmission Description,# Gears,Drive Desc,Carline Class Desc,Release Date,City CO2,Highway CO2,Combined CO2
2019,Honda,Acura,NSX,3.5,6,Auto(AM-S9),21,22,21,Turbocharged,Automated Manual- Selectable (e.g. Automated Manual with paddles),9,All Wheel Drive,Two Seaters,2018-10-01,419,406,420
2019,Fca Us Llc,Alfa Romeo,4C,1.8,4,Auto(AM6),24,34,28,Turbocharged,Automated Manual,6,"2-Wheel Drive, Rear",Two Seaters,2018-08-27,365,259,317
2019,Aston Martin,Aston Martin Lagonda Ltd,Vantage V8,4.0,8,Auto(S8),18,25,21,Turbocharged,Semi-Automatic,8,"2-Wheel Drive, Rear",Two Seaters,2018-06-01,494,364,435
2019,Volkswagen Group Of,Audi,TT Roadster quattro,2.0,4,Auto(AM-S7),23,31,26,Turbocharged,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,All Wheel Drive,Two Seaters,2018-12-21,384,285,340
2019,BMW,BMW,Z4 sDrive30i,2.0,4,Auto(S8),25,32,28,Turbocharged,Semi-Automatic,8,"2-Wheel Drive, Rear",Two Seaters,2018-12-21,355,278,321
2019,Volkswagen Group Of,Bugatti,Chiron,8.0,16,Auto(AM-S7),9,14,11,Turbocharged,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,All Wheel Drive,Two Seaters,2018-07-27,1010,632,840
2019,General Motors,Chevrolet,CORVETTE,6.2,8,Auto(S8),12,20,15,Supercharged,Semi-Automatic,8,"2-Wheel Drive, Rear",Two Seaters,2018-04-01,742,456,613
2019,General Motors,Chevrolet,CORVETTE,6.2,8,Auto(S8),15,25,18,Naturally Aspirated,Semi-Automatic,8,"2-Wheel Drive, Rear",Two Seaters,2018-02-01,599,357,490
2019,General Motors,Chevrolet,CORVETTE,6.2,8,Auto(S8),14,23,17,Supercharged,Semi-Automatic,8,"2-Wheel Drive, Rear",Two Seaters,2018-02-01,654,384,532
2019,General Motors,Chevrolet,CORVETTE,6.2,8,Manual(M7),13,19,15,Supercharged,Manual,7,"2-Wheel Drive, Rear",Two Seaters,2018-04-01,691,472,592
2019,General Motors,Chevrolet,CORVETTE,6.2,8,Manual(M7),15,22,17,Supercharged,Manual,7,"2-Wheel Drive, Rear",Two Seaters,2018-02-15,601,403,512
2019,General Motors,Chevrolet,CORVETTE,6.2,8,Manual(M7),16,25,19,Naturally Aspirated,Manual,7,"2-Wheel Drive, Rear",Two Seaters,2018-02-01,555,355,465
2019,Ferrari,"Ferrari North America, Inc.",488 gtb,3.9,8,Auto(AM7),16,22,18,Turbocharged,Automated Manual,7,"2-Wheel Drive, Rear",Two Seaters,2018-05-01,568,406,495
2019,Ferrari,"Ferrari North America, Inc.",488 gtb,3.9,8,Auto(AM7),15,22,18,Turbocharged,Automated Manual,7,"2-Wheel Drive, Rear",Two Seaters,2018-05-01,580,405,501
2019,Ferrari,"Ferrari North America, Inc.",488 Pista,3.9,8,Auto(AM7),15,20,17,Turbocharged,Automated Manual,7,"2-Wheel Drive, Rear",Two Seaters,2018-05-01,587,448,524
2019,Ferrari,"Ferrari North America, Inc.",488 Pista Spider,3.9,8,Auto(AM7),15,19,17,Turbocharged,Automated Manual,7,"2-Wheel Drive, Rear",Two Seaters,2018-05-01,593,457,531
2019,Ferrari,"Ferrari North America, Inc.",488 Spider,3.9,8,Auto(AM7),16,22,18,Turbocharged,Automated Manual,7,"2-Wheel Drive, Rear",Two Seaters,2018-05-01,568,406,495
2019,Ferrari,"Ferrari North America, Inc.",488 Spider,3.9,8,Auto(AM7),15,22,18,Turbocharged,Automated Manual,7,"2-Wheel Drive, Rear",Two Seaters,2018-05-01,580,405,501
2019,Ferrari,"Ferrari North America, Inc.",812 Superfast,6.5,12,Auto(AM7),12,16,13,Naturally Aspirated,Automated Manual,7,"2-Wheel Drive, Rear",Two Seaters,2018-05-01,747,557,661
2019,Fca Us Llc,Fiat,124 Spider,1.4,4,Auto(A6),25,36,29,Turbocharged,Automatic,6,"2-Wheel Drive, Rear",Two Seaters,2018-06-11,348,245,302
2019,Fca Us Llc,Fiat,124 Spider,1.4,4,Manual(M6),26,35,30,Turbocharged,Manual,6,"2-Wheel Drive, Rear",Two Seaters,2018-06-11,337,250,298
2019,Ford Motor Company,Ford,FORD GT,3.5,6,Auto(AM7),11,18,14,Turbocharged,Automated Manual,7,"2-Wheel Drive, Rear",Two Seaters,2018-10-16,779,501,654
2019,Jaguar Land Rover L,Jaguar,F-TYPE Convertible,2.0,4,Auto(S8),23,30,26,Turbocharged,Semi-Automatic,8,"2-Wheel Drive, Rear",Two Seaters,2018-03-27,386,296,346
2019,Jaguar Land Rover L,Jaguar,F-TYPE Convertible,3.0,6,Auto(S8),20,28,23,Supercharged,Semi-Automatic,8,"2-Wheel Drive, Rear",Two Seaters,2018-05-03,447,320,390
2019,Jaguar Land Rover L,Jaguar,F-TYPE Convertible Manual,3.0,6,Manual(M6),16,24,19,Supercharged,Manual,6,"2-Wheel Drive, Rear",Two Seaters,2018-05-09,562,371,476
2019,Jaguar Land Rover L,Jaguar,F-TYPE Coupe,2.0,4,Auto(S8),23,30,26,Turbocharged,Semi-Automatic,8,"2-Wheel Drive, Rear",Two Seaters,2018-03-27,386,296,346
2019,Jaguar Land Rover L,Jaguar,F-TYPE Coupe,3.0,6,Auto(S8),20,28,23,Supercharged,Semi-Automatic,8,"2-Wheel Drive, Rear",Two Seaters,2018-05-03,447,320,390
2019,Jaguar Land Rover L,Jaguar,F-TYPE Coupe Manual,3.0,6,Manual(M6),16,24,19,Supercharged,Manual,6,"2-Wheel Drive, Rear",Two Seaters,2018-05-09,562,371,476
2019,Jaguar Land Rover L,Jaguar,F-TYPE R AWD Convertible,5.0,8,Auto(S8),15,23,18,Supercharged,Semi-Automatic,8,All Wheel Drive,Two Seaters,2018-05-09,588,392,500
